epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3025,1.8816,3.33669,1.53522,0.01473,0.32363,0.14969,0.09124,1.21347,3.20441,1.06818,0.00030009,0.00030009,0.00030009
2,42.6071,1.33578,1.56195,1.08298,0.01665,0.67023,0.32161,0.20418,1.14979,2.87481,0.98637,0.000584054,0.000584054,0.000584054
3,63.223,1.3056,1.25437,1.05327,0.97187,0.08461,0.40398,0.25428,1.1988,2.40477,1.04056,0.000836894,0.000836894,0.000836894
4,82.0174,1.23389,1.14576,1.0401,0.83999,0.31258,0.41702,0.27796,1.17888,1.84146,1.02023,0.00105861,0.00105861,0.00105861
5,102.829,1.21019,1.0558,1.02399,0.42062,0.44676,0.39026,0.24615,1.227,1.78277,1.06471,0.00114606,0.00114606,0.00114606
6,122.562,1.20769,1.01529,1.02692,0.5876,0.44238,0.47311,0.31398,1.13626,1.34244,1.01317,0.00107532,0.00107532,0.00107532
7,142.999,1.1595,0.91614,0.99109,0.67894,0.48145,0.52727,0.31414,1.25574,1.32022,1.09189,0.00100459,0.00100459,0.00100459
8,162.2,1.15373,0.88868,0.99161,0.58164,0.54566,0.58699,0.36207,1.12981,0.89684,1.01674,0.000933851,0.000933851,0.000933851
9,181.967,1.13445,0.8313,0.99637,0.68578,0.53105,0.58258,0.3688,1.14573,0.87188,1.04592,0.000863116,0.000863116,0.000863116
10,201.227,1.10276,0.7822,0.97363,0.59994,0.52349,0.57915,0.36426,1.13884,0.79012,1.02685,0.00079238,0.00079238,0.00079238
11,225.745,1.12132,0.89134,0.98468,0.66563,0.53896,0.62899,0.39989,1.10372,0.7455,1.01578,0.000721645,0.000721645,0.000721645
12,244.887,1.08331,0.80417,0.97431,0.72397,0.60493,0.65529,0.42525,1.06049,0.74102,0.98545,0.000650909,0.000650909,0.000650909
13,265.298,1.09934,0.76338,0.97749,0.68968,0.58568,0.64847,0.41676,1.08232,0.67435,0.99076,0.000580174,0.000580174,0.000580174
14,283.929,1.076,0.7288,0.97589,0.69033,0.61649,0.66817,0.4154,1.13191,0.68306,1.01993,0.000509438,0.000509438,0.000509438
15,303.666,1.06199,0.70229,0.9613,0.85622,0.62628,0.72944,0.46715,1.05423,0.62591,0.98755,0.000438703,0.000438703,0.000438703
16,322.496,1.03687,0.68913,0.95068,0.69278,0.66769,0.71495,0.45922,1.05489,0.63625,0.98669,0.000367967,0.000367967,0.000367967
17,341.703,1.02208,0.67411,0.94944,0.80077,0.64514,0.71231,0.46051,1.04235,0.62059,0.97856,0.000297232,0.000297232,0.000297232
18,360.435,1.00017,0.64378,0.95174,0.84896,0.62513,0.72669,0.48271,0.99959,0.60609,0.96755,0.000226497,0.000226497,0.000226497
19,380.028,0.99589,0.62644,0.93272,0.83257,0.67661,0.73206,0.49007,1.00919,0.58312,0.96862,0.000155761,0.000155761,0.000155761
20,399.234,0.9918,0.61411,0.94229,0.78121,0.68908,0.74035,0.49341,0.99549,0.56108,0.96462,8.50255e-05,8.50255e-05,8.50255e-05
